"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names","label"
"دابي مات","none","*معجبني الموت برجع🙂*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي انت اسطورة","none","*حبيبي❤️‍🔥*<#>*وانت*","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي كم تاريخ اليوم؟","none","*%year%/%month%/%day_of_month%*","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي سوالف","none","◉❯━━━━━━✨━━━━━❮◉\n                 *اوامر البوت*\n◉❯━━━━━━✨━━━━━❮◉\n*✧☜كت*\n*✧☜كتت*\n*✧☜دابي كم عمرك؟*\n *✧☜دابي من تحب*\n*✧☜دابي من تكره*\n *✧☜دابي كم يوم بالاسبوع؟* \n *✧☜دابي من صنعك*\n *✧☜دابي ايش انميك المفضل؟*\n *✧☜دابي تحبني*\n *✧☜دابي  مين انت*\n *✧☜دابي انا عمك*\n*✧☜دابي كم تاريخ اليوم؟*\n*✧☜دابي ابي انام*\n *✧☜دابي من عمك*\n*✧☜دابي كم الساعة الان؟*\n *✧☜دابي انا جيت*\n *✧☜دابي احبك*\n*✧☜دابي كيفك؟*\n*✧☜دابي اليوم ايش؟*\n*✧☜دابي من اكبر مطبل هنا؟*\n*✧☜دابي اضحك له*\n*✧☜بوت عاصي الوالدين*\n*✧☜دابي بوت*\n*✧☜دابي مين انا؟*\n*✧☜دابي مين جلاد مادارا؟*\n*✧☜دابي اتاك عمك*\n*✧☜دابي يابوت*\n*✧☜دابي اسكت*\n*✧☜دابي كم طولك*\n*✧☜دابي باك*\n*✧☜دابي تعال خاص*\n*✧☜دابي قول نعم*\n*✧☜دابي لعبه*\n*✧☜دابي هات شعر*\n*✧☜دابي من سبب كل شي*\n*✧☜دابي من شيخ بني اوتشيها*\n*✧☜دابي هل تعلم*\n*✧☜دابي اسم القروب*\n*✧☜دابي انت ذكي*\n*✧☜دابي في مشكلة هنا*\n *✧☜دابي ون بيس عمك*\n*✧☜دابي مين احله واحد هنا؟*\n*✧☜دابي بيانات*\n*✧☜دبدوبي*\n*✧☜دابي كم شاحنك*\n *✧☜دابي ما هوا افضل انمي بالنسبة لك؟*\n *✧☜دابي انا عمك*\n *✧☜دابي الاساطير*\n*✧☜دابي ماهو لونك المفضل؟*\n*✧☜مقولات الانمي*\n*✧☜دابي ابي فلوس*\n*✧☜دابي مات*\n*✧☜دابي انت اسطورة*\n*✧☜ليش اسمك دابي؟*\n*✧☜دابي قول مبروك*\n*✧☜دابي ساحب*\n*✧☜استرجل*\n◉❯━━━━━━✨━━━━━❮◉\n *شعارنا*\n              ⟬إلى الأمام دوماً نحو آفاق عالم الانمي ⟭\n◉❯━━━━━━✨━━━━━❮◉\n*اذا عندك أي افكار اضيفها للبوت تواصل مع مطور البوت*\n‏『+967737368322』\n◉❯━━━━━━✨━━━━━❮◉","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي قول مبروك","none","*مبروك🎉🎊*<#>*ليش مين تزوج؟*<#>*مافي عيد علشان اقول مبروك 🗿*","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"ليش اسمك دابي؟","none","*مادري🐦*<#>*اسئل مطوري*","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي ساحب","none","*اسف 💔*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي امدحه","none","*احبك❤️‍🔥😩*<#>*رجال / حريمه🔥🙂*","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"استرجل","none","*يب يب استرجل يا هطف🫡*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي ايش لونك المفضل؟","none","*اسود🖤*<#>*احمر❤*<#>*ازرق💙*<#>*اخضر💚*<#>*اصفر💛*<#>*مافي شي كلهم عطب🗿*","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
